,month,unique_carrier,origin_airport_id,dest_airport_id,distance,arr_delay,carrier_avg_monthly_payload,carrier_avg_monthly_psngr,carrier_avg_monthly_dep_scheduled,carrier_avg_monthly_r2r,airport_avg_taxi_out,airport_avg_taxi_in
0,3,OO,11292,11097,391,-24.0,420000.0,1874.0,31.0,2596.0,19.21,3.0
1,7,OO,11292,14683,794,-1.0,453680.0,1592.0,26.0,2116.5,19.21,3.25
2,6,AA,11298,14683,247,59.0,809050.0,2745.5,20.5,3775.5,18.06,3.25
3,7,AS,14747,14683,1774,0.0,915600.0,3094.5,23.5,4269.0,16.46,3.25
4,6,UA,12266,14683,191,-18.0,116345.0,462.0,22.45,320.0,18.5,3.25
5,7,OO,11292,14252,852,-7.0,453680.0,1592.0,26.0,2116.5,19.21,3.0
6,4,WN,11292,13232,895,0.0,737800.0,2428.0,27.86,1692.0,19.21,4.67
7,2,WN,11433,13232,228,-6.0,629300.0,2150.0,20.25,2178.5,18.65,4.67
8,6,DL,10397,13232,591,31.0,1612228.5,5781.5,56.25,5836.0,16.59,4.67
9,4,WN,15304,13232,997,0.0,737800.0,2428.0,27.86,1692.0,14.0,4.67
10,8,WN,15376,13232,1440,-11.0,675300.0,2151.0,28.5,2738.5,11.0,4.67
11,9,WN,14893,13232,1790,-16.0,1715400.0,5348.5,47.38,5222.0,12.67,4.67
12,9,WN,14869,13232,1259,-25.0,1715400.0,5348.5,47.38,5222.0,15.72,4.67
13,2,WN,11986,13232,137,-2.0,629300.0,2150.0,20.25,2178.5,25.67,4.67
14,9,WN,11292,10821,1491,-4.0,1715400.0,5348.5,47.38,5222.0,19.21,5.91
15,9,AA,13930,10821,621,37.0,870850.0,2750.0,17.5,3927.5,26.06,5.91
16,4,WN,10397,10821,577,-10.0,737800.0,2428.0,27.86,1692.0,16.59,5.91
17,1,WN,10693,10821,587,2.0,217000.0,595.0,9.9,683.0,15.8,5.91
18,2,WN,12889,10821,2106,11.0,629300.0,2150.0,20.25,2178.5,14.32,5.91
19,9,WN,11697,10821,925,19.0,1715400.0,5348.5,47.38,5222.0,18.67,5.91
20,3,WN,11697,10821,925,4.0,325500.0,1160.5,13.42,920.5,18.67,5.91
21,9,WN,14576,10821,277,-2.0,1715400.0,5348.5,47.38,5222.0,11.6,5.91
22,7,WN,14869,10821,1865,5.0,1128400.0,3585.0,55.54,4874.0,15.72,5.91
23,5,WN,10792,10821,281,6.0,1764600.0,6204.0,49.57,5697.0,13.83,5.91
24,1,WN,11292,14679,853,-22.0,217000.0,595.0,9.9,683.0,19.21,3.5
25,2,OO,14771,14679,447,52.0,364000.0,562.0,28.67,1942.0,20.26,3.5
26,4,WN,13232,14679,1728,-13.0,737800.0,2428.0,27.86,1692.0,10.31,3.5
27,4,WN,12889,14679,258,-12.0,737800.0,2428.0,27.86,1692.0,14.32,3.5
28,6,WN,12889,14679,258,-11.0,173600.0,647.0,18.0,642.0,14.32,3.5
29,3,DL,14869,14679,626,0.0,1451660.0,3795.0,48.0,3661.0,15.72,3.5
30,3,F9,10423,14679,1164,-26.0,1161600.0,4568.0,32.0,7937.0,14.78,3.5
31,6,WN,13796,14679,446,-16.0,173600.0,647.0,18.0,642.0,12.83,3.5
32,6,WN,13796,14679,446,9.0,173600.0,647.0,18.0,642.0,12.83,3.5
33,6,WN,13796,14679,446,44.0,173600.0,647.0,18.0,642.0,12.83,3.5
34,3,WN,13796,14679,446,9.0,325500.0,1160.5,13.42,920.5,12.83,3.5
35,1,WN,11292,14107,602,-18.0,217000.0,595.0,9.9,683.0,19.21,7.67
36,3,AA,12892,14107,370,-2.0,1501500.0,4827.0,33.8,4081.0,18.64,7.67
37,2,WN,12892,14107,370,2.0,629300.0,2150.0,20.25,2178.5,18.64,7.67
38,8,UA,14771,14107,651,-13.0,484224.5,1862.5,13.75,1492.5,20.26,7.67
39,3,DL,10397,14107,1587,-11.0,1451660.0,3795.0,48.0,3661.0,16.59,7.67
40,6,AS,14747,14107,1107,-14.0,404050.0,1600.0,6.0,1449.5,16.46,7.67
41,5,AS,14747,14107,1107,-8.0,1188800.0,4221.0,34.67,6728.0,16.46,7.67
42,6,AA,10721,14107,2300,-12.0,809050.0,2745.5,20.5,3775.5,22.71,7.67
43,9,AA,14893,14107,647,-16.0,870850.0,2750.0,17.5,3927.5,12.67,7.67
44,8,WN,13198,14107,1044,-9.0,675300.0,2151.0,28.5,2738.5,11.17,7.67
45,2,AA,11278,14107,1979,6.0,977700.0,2927.0,24.2,5228.0,23.89,7.67
46,1,UA,12266,14107,1009,-8.0,582563.0,2315.0,31.15,3046.0,18.5,7.67
47,3,WN,12191,14107,1020,-2.0,325500.0,1160.5,13.42,920.5,8.11,7.67
48,7,AA,13830,14107,2845,-7.0,1332600.0,4859.0,48.64,4470.0,9.6,7.67
49,5,OO,14794,14107,262,-5.0,344240.0,1407.5,31.25,2839.5,16.0,7.67
50,4,OO,14262,14107,261,-13.0,580140.0,2227.5,47.5,4180.0,10.5,7.67
51,6,OO,14698,14107,509,-1.0,354820.0,1289.0,19.29,2656.0,15.0,7.67
52,9,OO,11292,12519,573,3.0,372400.0,1386.5,29.88,3909.5,19.21,5.0
53,5,WN,11292,13871,472,-11.0,1764600.0,6204.0,49.57,5697.0,19.21,4.67
54,5,UA,13930,13871,416,-8.0,65066.0,201.0,13.29,333.0,26.06,4.67
55,7,DL,10397,13871,821,-9.0,102190.0,257.0,24.18,496.0,16.59,4.67
56,4,AS,14747,13871,1368,-35.0,617150.0,2225.5,22.5,5261.0,16.46,4.67
57,8,AS,14747,13871,1368,-24.0,471600.0,1441.0,89.83,1847.0,16.46,4.67
58,5,WN,11292,13495,1062,34.0,1764600.0,6204.0,49.57,5697.0,19.21,5.29
59,5,AA,13930,13495,836,-18.0,2783300.0,8598.0,73.8,8516.0,26.06,5.29
60,4,WN,13232,13495,825,83.0,737800.0,2428.0,27.86,1692.0,10.31,5.29
61,9,WN,10821,13495,998,-5.0,1715400.0,5348.5,47.38,5222.0,12.58,5.29
62,8,AS,14747,13495,2086,-43.0,471600.0,1441.0,89.83,1847.0,16.46,5.29
63,2,AA,11057,13495,651,-6.0,977700.0,2927.0,24.2,5228.0,24.32,5.29
64,2,UA,11292,15370,541,20.0,222585.5,578.5,9.42,555.0,19.21,4.67
65,7,AA,11298,15370,237,6.0,1332600.0,4859.0,48.64,4470.0,18.06,4.67
66,9,AA,11298,15370,237,-3.0,870850.0,2750.0,17.5,3927.5,18.06,4.67
67,2,UA,11292,13930,888,9.0,222585.5,578.5,9.42,555.0,19.21,14.65
68,2,OO,11433,13930,235,7.0,364000.0,562.0,28.67,1942.0,18.65,14.65
69,4,OO,11433,13930,235,-19.0,580140.0,2227.5,47.5,4180.0,18.65,14.65
70,7,AA,12953,13930,733,30.0,1332600.0,4859.0,48.64,4470.0,27.09,14.65
71,8,AA,12953,13930,733,-17.0,1355450.0,4577.0,28.75,8604.5,27.09,14.65
72,7,OO,10693,13930,409,-25.0,453680.0,1592.0,26.0,2116.5,15.8,14.65
73,6,OO,10693,13930,409,34.0,354820.0,1289.0,19.29,2656.0,15.8,14.65
74,5,UA,14107,13930,1440,-21.0,65066.0,201.0,13.29,333.0,13.36,14.65
75,4,AA,14100,13930,678,2.0,2111000.0,5018.0,40.86,7360.0,22.22,14.65
76,5,AA,13303,13930,1197,38.0,2783300.0,8598.0,73.8,8516.0,25.0,14.65
77,4,AA,10529,13930,783,-22.0,2111000.0,5018.0,40.86,7360.0,16.75,14.65
78,7,AA,14831,13930,1829,-15.0,1332600.0,4859.0,48.64,4470.0,12.62,14.65
79,9,UA,14576,13930,528,-13.0,362407.0,1075.5,13.38,2060.5,11.6,14.65
80,2,AA,13204,13930,1005,-7.0,977700.0,2927.0,24.2,5228.0,15.69,14.65
81,2,OO,13342,13930,67,-9.0,364000.0,562.0,28.67,1942.0,14.29,14.65
82,8,DL,13487,13930,334,-11.0,1040940.0,3446.0,29.17,4786.5,17.79,14.65
83,9,OO,11042,13930,315,-9.0,372400.0,1386.5,29.88,3909.5,13.0,14.65
84,1,OO,11977,13930,174,-24.0,625100.0,1913.5,64.5,4502.5,10.0,14.65
85,9,OO,14489,13930,1677,-36.0,372400.0,1386.5,29.88,3909.5,10.5,14.65
