,fl_date,weather
0,2019-01-01,snow
1,2019-01-02,snow
2,2019-01-03,sunny
3,2019-01-04,sunny
4,2019-01-05,cloudy
5,2019-01-06,cloudy
6,2019-01-07,rainy
7,2019-01-08,rainy
8,2019-01-09,sunny
9,2019-01-10,cloudy
10,2019-01-11,sunny
11,2019-01-12,snow
12,2019-01-13,snow
13,2019-01-14,cloudy
14,2019-01-15,snow
15,2019-01-16,snow
16,2019-01-17,snow
17,2019-01-18,snow
18,2019-01-19,snow
19,2019-01-20,snow
20,2019-01-21,snow
21,2019-01-22,snow
22,2019-01-23,snow
23,2019-01-24,snow
24,2019-01-25,snow
25,2019-01-26,cloudy
26,2019-01-27,sunny
27,2019-01-28,snow
28,2019-01-29,snow
29,2019-01-30,snow
30,2019-01-31,cloudy
31,2019-02-01,snow
32,2019-02-02,cloudy
33,2019-02-03,rainy
34,2019-02-04,snow
35,2019-02-05,cloudy
36,2019-02-06,rainy
37,2019-02-07,snow
38,2019-02-08,cloudy
39,2019-02-09,sunny
40,2019-02-10,snow
41,2019-02-11,snow
42,2019-02-12,snow
43,2019-02-13,snow
44,2019-02-14,cloudy
45,2019-02-15,snow
46,2019-02-16,cloudy
47,2019-02-17,snow
48,2019-02-18,snow
49,2019-02-19,cloudy
50,2019-02-20,snow
51,2019-02-21,cloudy
52,2019-02-22,sunny
53,2019-02-23,rainy
54,2019-02-24,snow
55,2019-02-25,cloudy
56,2019-02-26,snow
57,2019-02-27,snow
58,2019-02-28,cloudy
59,2019-03-01,cloudy
60,2019-03-02,snow
61,2019-03-03,snow
62,2019-03-04,cloudy
63,2019-03-05,snow
64,2019-03-06,snow
65,2019-03-07,cloudy
66,2019-03-08,cloudy
67,2019-03-09,rainy
68,2019-03-10,snow
69,2019-03-11,cloudy
70,2019-03-12,sunny
71,2019-03-13,rainy
72,2019-03-14,snow
73,2019-03-15,snow
74,2019-03-16,sunny
75,2019-03-17,snow
76,2019-03-18,cloudy
77,2019-03-19,sunny
78,2019-03-20,rainy
79,2019-03-21,snow
80,2019-03-22,cloudy
81,2019-03-23,sunny
82,2019-03-24,rainy
83,2019-03-25,sunny
84,2019-03-26,sunny
85,2019-03-27,sunny
86,2019-03-28,snow
87,2019-03-29,cloudy
88,2019-03-30,snow
89,2019-03-31,sunny
90,2019-04-01,sunny
91,2019-04-02,sunny
92,2019-04-03,cloudy
93,2019-04-04,rainy
