month,airline_id,unique_carrier,tdomt_cost,tdomt_gallons
4,20402,GL,670576,250019
6,20100,PO,4070029,2793706
11,20366,EV,218525,85810
7,20007,5Y,14404333,9165574
4,20108,NC,924252,460887
1,20046,ZW,12151,3636
6,20402,GL,1079073,424264
5,20304,OO,12279100,6492944
9,19790,DL,349929240,176327569
8,19977,UA,238731146,151878502
1,19930,AS,45827760,36597369
10,20107,FX,104379000,60232615
4,20377,X9,586636,325043
1,19690,HA,29894018,15115998
3,20151,M6,333131,255821
10,20304,OO,9706354,4711398
8,20405,N8,186025,106998
6,20368,G4,42106026,19947115
7,21352,0WQ,467742,136368
5,20107,FX,129525000,62012233
11,21650,EE,466006,217760
5,21629,KD,26488,26488
2,21629,KD,678656,303157
3,20107,FX,121843616,63697908
5,20207,XP,154922,59357
7,21352,0WQ,78467,26331
9,20108,NC,751572,463900
11,21352,0WQ,67032,20130
5,20100,PO,4657122,3003912
3,21492,1BQ,11182,4608
3,20436,F9,38296243,19844056
4,20166,GFQ,168586,97865
2,20402,GL,842827,334987
1,20368,G4,31266501,14124731
4,20372,KLQ,171911,72114
4,20372,KLQ,501851,198608
2,20304,OO,7860757,5287524
3,20108,NC,553876,404819
2,19790,DL,185127672,137448608
12,19805,AA,347350008,183950477
9,20452,YX,13956065,10210565
7,20416,NK,39089881,24415969
7,20447,U7,706774,455983
9,19393,WN,317265738,161469375
2,20107,FX,94206000,55003750
7,20377,X9,1056958,496268
7,20310,WL,8177,10821
6,20151,M6,407009,245940
5,20402,GL,453072,153537
9,21161,09Q,1430024,415270
2,19790,DL,254905563,141386742
5,20447,U7,641758,442592
3,20452,YX,48320,21202
1,21650,EE,280325,148320
4,21634,KH,801374,385347
1,20366,EV,241962,87798
10,19393,WN,385961453,175403853
1,19874,8C,43613,23622
6,19917,5X,53471000,37234000
2,20370,KAQ,564981,325001
3,20366,EV,276920,86925
12,19393,WN,309724573,168866327
5,20370,KAQ,1542677,783751
2,20166,GFQ,770075,314756
3,20007,5Y,13063892,6946147
8,20409,B6,93560858,51893463
2,20402,GL,706381,316608
12,20408,5V,926195,337373
1,19930,AS,68433988,39098220
4,20100,PO,3593983,2857246
2,20402,GL,1399624,480858
10,21161,09Q,2778676,951656
6,20190,9S,1551273,738701
3,20452,YX,26937693,14890099
1,20372,KLQ,238881,89058
5,20304,OO,21498760,8257547
1,20108,NC,606305,329481
9,21629,KD,8723,8723
11,19790,DL,416274199,168745755
11,20422,SY,6934078,3934076
10,21650,EE,142970,80320
3,20368,G4,42946254,19457496
7,20422,SY,9214238,4198458
9,21629,KD,2943828,1358616
7,20287,WP,186483,96694
10,20310,WL,116754,44970
6,19930,AS,149647804,63201373
9,20377,X9,603415,347283
7,19874,8C,57777,21765
4,20447,U7,567626,276938
10,20422,SY,8684618,4023896
8,20046,ZW,34733,11462
3,20100,PO,5715144,2855050
1,19977,UA,189982976,108316645
7,20107,FX,121269514,56301492
4,20452,YX,29889,13919
2,19805,AA,172575868,97576429
8,19805,AA,250264515,196986308
5,20422,SY,7012131,3715351
4,21352,0WQ,78587,24181
3,20447,U7,1263170,650659
8,20416,NK,81114551,39098822
3,20366,EV,194962,82715
11,19930,AS,138728248,56957076
8,21161,09Q,1041710,288920
1,20448,S5,10206564,6301599
5,19930,AS,148001060,62005379
8,19805,AA,426346992,200453516
4,20107,FX,90913000,58287307
6,19977,UA,336639088,154622048
10,20452,YX,19321347,13190456
7,20408,5V,1114248,426753
12,19690,HA,22405322,14541358
