,fl_date,mkt_carrier_fl_num,origin_airport_id,dest_airport_id,carrier,origin,destination,distance,crs_dep_time,crs_arr_time,taxi_out,day_of_week,day_of_month,month,arr_delay,binary_delay,avg_month_payload_carrier,avg_month_psngr_carrier,avg_domest_cost_month_carrier,avg_domest_gallons_month_carrier,avg_dep_scheduled_monthly_airport
0,2018-06-19,1673,14771,14747,Alaska Airlines,"San Francisco, CA","Seattle, WA",679,1830,2035,14.0,1,19,6,2,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
1,2019-06-21,1138,14771,14100,Alaska Airlines,"San Francisco, CA","Philadelphia, PA",2521,2205,645,21.0,4,21,6,-20,0,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
2,2018-06-03,1743,14771,14747,Alaska Airlines,"San Francisco, CA","Seattle, WA",679,800,1005,25.0,6,3,6,2,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
3,2018-06-07,1924,14771,12892,Alaska Airlines,"San Francisco, CA","Los Angeles, CA",337,725,902,49.0,3,7,6,19,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
4,2018-06-12,1930,14771,12892,Alaska Airlines,"San Francisco, CA","Los Angeles, CA",337,1405,1540,10.0,1,12,6,-24,0,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
5,2019-06-13,1677,14771,14747,Alaska Airlines,"San Francisco, CA","Seattle, WA",679,1220,1435,18.0,3,13,6,17,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
6,2018-06-08,1204,14771,13930,Alaska Airlines,"San Francisco, CA","Chicago, IL",1846,1010,1629,16.0,4,8,6,-11,0,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
7,2019-06-25,1932,14771,12892,Alaska Airlines,"San Francisco, CA","Los Angeles, CA",337,1600,1740,30.0,1,25,6,13,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
8,2019-06-12,1088,14771,12264,Alaska Airlines,"San Francisco, CA","Washington, DC",2419,1545,2359,31.0,2,12,6,-12,0,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
9,2018-06-17,1930,14771,12892,Alaska Airlines,"San Francisco, CA","Los Angeles, CA",337,1405,1540,15.0,6,17,6,1,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
10,2018-06-14,453,14771,14747,Alaska Airlines,"San Francisco, CA","Seattle, WA",679,1315,1524,18.0,3,14,6,15,1,553850.0,3591.9428044280444,80408619.0,43054527.0,16430
11,2018-06-10,2379,14771,14869,United Airlines,"San Francisco, CA","Salt Lake City, UT",599,1152,1446,26.0,6,10,6,-16,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
12,2018-06-14,424,14771,11298,United Airlines,"San Francisco, CA","Dallas/Fort Worth, TX",1464,1253,1831,15.0,3,14,6,-25,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
13,2019-06-24,577,14771,11618,United Airlines,"San Francisco, CA","Newark, NJ",2565,720,1600,18.0,0,24,6,-16,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
14,2018-06-14,2031,14771,11292,United Airlines,"San Francisco, CA","Denver, CO",967,1759,2120,17.0,3,14,6,-1,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
15,2019-06-03,1227,14771,11292,United Airlines,"San Francisco, CA","Denver, CO",967,810,1146,22.0,0,3,6,-3,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
16,2018-06-17,351,14771,14747,United Airlines,"San Francisco, CA","Seattle, WA",679,2310,119,28.0,6,17,6,22,1,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
17,2019-06-25,1255,14771,11618,United Airlines,"San Francisco, CA","Newark, NJ",2565,55,920,19.0,1,25,6,0,1,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
18,2019-06-16,2339,14771,14107,United Airlines,"San Francisco, CA","Phoenix, AZ",651,1930,2131,16.0,6,16,6,-17,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
19,2019-06-13,1657,14771,14747,United Airlines,"San Francisco, CA","Seattle, WA",679,1935,2145,12.0,3,13,6,-26,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
20,2019-06-10,1841,14771,11298,United Airlines,"San Francisco, CA","Dallas/Fort Worth, TX",1464,2359,549,35.0,0,10,6,-17,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
21,2018-06-29,756,14771,11292,United Airlines,"San Francisco, CA","Denver, CO",967,500,822,14.0,4,29,6,1,1,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
22,2018-06-10,759,14771,14747,United Airlines,"San Francisco, CA","Seattle, WA",679,1252,1503,25.0,6,10,6,6,1,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
23,2018-06-23,2237,14771,13204,United Airlines,"San Francisco, CA","Orlando, FL",2446,2310,734,15.0,5,23,6,-4,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
24,2019-06-25,2242,14771,11292,United Airlines,"San Francisco, CA","Denver, CO",967,1606,1940,27.0,1,25,6,-9,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
25,2019-06-22,810,14771,12266,United Airlines,"San Francisco, CA","Houston, TX",1635,1604,2159,15.0,5,22,6,-28,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
26,2019-06-17,1204,14771,12266,United Airlines,"San Francisco, CA","Houston, TX",1635,2359,545,24.0,0,17,6,1,1,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
27,2019-06-04,727,14771,12264,United Airlines,"San Francisco, CA","Washington, DC",2419,1300,2110,17.0,1,4,6,-13,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
28,2018-06-04,624,14771,13930,United Airlines,"San Francisco, CA","Chicago, IL",1846,1040,1703,23.0,0,4,6,-18,0,400496.5,3183.2806722689074,251303283.0,147787575.0,16430
